source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
309	PeakForest	Metadata		https://github.com/peakforest/peakforest-webapp	https://link.springer.com/article/10.1007/s11306-022-01899-3	2022	JavaScript, Java, C++, CSS, HTML, CMake	data_management_sharing	platform_independent		command_line	database_knowledgebase	mixed_nmr_mentions
435	MetaXtract	Metadata/Quality Control		https://github.com/Rappsilber-Laboratory/MetaXtract	https://www.biorxiv.org/content/10.1101/2025.11.12.687968v1	2025	Python	data_management_sharing	lc_ms		python_package	workflow_pipeline	
437	CCWeights	Specialized		https://github.com/YonghuiDong/CCWeights	https://academic.oup.com/bioinformaticsadvances/article/1/1/vbab029/6413624	2021	R	data_management_sharing	lc_ms		r_package	workflow_pipeline	broad_source_bucket_manual_review
556	SMetaS	Metadata		https://github.com/metabolomics-us/metadatastandardizer	https://www.mdpi.com/2218-1989/13/8/941	2023	Python	data_management_sharing	platform_independent		python_package	database_knowledgebase	
651	MatrixLM	Metadata		https://github.com/senresearch/MatrixLM.jl	https://www.mdpi.com/2218-1989/15/2/140	2025	Julia	data_management_sharing	platform_independent		command_line	software_application	
