source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
686	Met-ID	Imaging MS		https://github.com/pbjarterot/Met-ID	https://pubs.acs.org/doi/10.1021/acs.analchem.5c00633	2025	Rust, TypeScript, Python, HTML, CSS	preprocessing	imaging_ms;maldi_ms		python_package	database_knowledgebase	
700	msFeaST	Pre-processing		https://github.com/kevinmildau/msFeaST	https://academic.oup.com/bioinformatics/article/40/10/btae584/7796532	2024	HTML, Python	preprocessing	lc_ms	targeted;untargeted	python_package	workflow_pipeline	
702	Pear Review	Pre-processing		NA	https://www.sciencedirect.com/science/article/pii/S0026265X24016904	2024	Python, R	preprocessing	lc_ms		python_package;r_package	database_knowledgebase	
707	DecoID	Pre-processing		https://github.com/pattilab/DecoID/releases	https://www.nature.com/articles/s41592-021-01195-3	2021	Python, Shell	preprocessing	platform_independent		python_package	database_knowledgebase	
708	PeakDetective	Pre-processing		https://github.com/pattilab/PeakDetective	https://pubs.acs.org/doi/10.1021/acs.analchem.3c00764	2023	Python	preprocessing	platform_independent	untargeted	python_package	programming_package	
711	MetaboReport	Holistic/ Standalone Tools		https://github.com/YonghuiDong/MetReport, https://metaboreport.com/	https://academic.oup.com/bioinformatics/article/40/6/btae373/7695238	2024	HTML, R, Webserver	preprocessing	platform_independent		web_app;r_package	web_service	broad_source_bucket_manual_review
714	RI-based-CPSC	RT		https://github.com/WHU-Fenglab/RI-based-CPSC	https://pubs.acs.org/doi/10.1021/acs.analchem.3c02583	2023	Python	preprocessing	lc_ms	untargeted	python_package	workflow_pipeline	
715	HeuSMA	Pre-processing		https://github.com/Lacterd/HeuSMA	https://pubs.acs.org/doi/full/10.1021/acs.analchem.4c05315	2025	Python	preprocessing	lc_ms	untargeted	python_package	programming_package	
717	MS-IDF	Pre-processing		NA	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04719	2022	MATLAB	preprocessing	lc_ms	targeted;stable_isotope_tracing	matlab	software_application	
720	MS-TDF Software	Pre-processing		https://github.com/CaixiaYuan/MS-TDF	https://pubs.acs.org/doi/10.1021/acs.analchem.4c00527	2024	MATLAB	preprocessing	platform_independent		matlab	database_knowledgebase	
724	QuanFormer	Pre-processing		https://github.com/LinShuhaiLAB/QuanFormer	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.4c04531	2025	Python	preprocessing	lc_ms		python_package	programming_package	
725	eROI	GC-MS		https://github.com/Gaozhuang-big/eROI	https://www.sciencedirect.com/science/article/abs/pii/S0003267025005653	2025	Python	preprocessing	gc_ms	untargeted	python_package	database_knowledgebase	
726	FluoroMatch 2.0	Holistic/ Standalone Tools		http://innovativeomics.com/software/fluoromatch-flow-covers-entire-pfas-workflow/	https://link.springer.com/article/10.1007/s00216-021-03392-7	2022	R, C++	preprocessing	lc_ms	untargeted	r_package	programming_package	broad_source_bucket_manual_review
729	MS2toImg	Specialized		https://github.com/jsehhs/MS2toImg-CNN	https://arxiv.org//2510.09716	2025	Python	preprocessing	lc_ms	untargeted	python_package	programming_package	broad_source_bucket_manual_review
740	OpenNAU	Pre-processing		https://github.com/zjuRong/openNAU	http://article.cjcrcn.org/en/article/doi/10.21147/j.issn.1000-9604.2023.05.11	2023	R, PHP, JavaScript, HTML, CSS	preprocessing	platform_independent	untargeted	r_package	database_knowledgebase	
741	NP-PRESS	Pre-processing		https://github.com/MicroResearchLab/NP-PRESS	https://chemrxiv.org/engage/chemrxiv/article-details/6661401d21291e5d1d2cb051	2024	Python, R	preprocessing	platform_independent		python_package;r_package	programming_package	
745	GLMR	Benchmark/Dataset		NA	https://arxiv.org/abs/2511.06259	2025	NA	preprocessing	platform_independent			data_repository	
